symptoms,predicted_condition,followup_questions
"panic, suicidal_thoughts, blackouts, hearing_voices, feeling_disconnected_from_surroundings, sudden_shift_in_mood",Dissociative Identity Disorder,"['Do you notice suicidal thoughts getting worse over time?', 'How long have you experienced sudden shift in mood?', 'How long have you experienced blackouts?', 'Have you had professional help for hearing voices before?', 'On a scale of 1 to 10, how severe is your feeling disconnected from surroundings?']"
"suicidal_thoughts, presence_of_two_or_more_distinct_identities, hearing_voices, panic, sudden_shift_in_mood, blackouts",Dissociative Identity Disorder,"['Does sudden shift in mood affect your daily functioning?', 'How long have you experienced blackouts?', 'Is hearing voices interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your presence of two or more distinct identities?', 'Is there a specific event that triggered your suicidal thoughts?']"
"sudden_shift_in_mood, suicidal_thoughts, presence_of_two_or_more_distinct_identities, feeling_disconnected_from_surroundings, blackouts",Dissociative Identity Disorder,"['Is there a specific event that triggered your blackouts?', 'How long have you experienced feeling disconnected from surroundings?', 'Do you notice sudden shift in mood getting worse over time?', 'Have you had professional help for suicidal thoughts before?', 'On a scale of 1 to 10, how severe is your presence of two or more distinct identities?']"
"presence_of_two_or_more_distinct_identities, panic, suicidal_thoughts, sudden_shift_in_mood, feeling_disconnected_from_surroundings",Dissociative Identity Disorder,"['Does anything help relieve your suicidal thoughts?', 'Do you notice panic getting worse over time?', 'Is feeling disconnected from surroundings interfering with your relationships or work?', 'Does anything help relieve your sudden shift in mood?', 'Does anything help relieve your presence of two or more distinct identities?']"
"feeling_disconnected_from_surroundings, presence_of_two_or_more_distinct_identities, suicidal_thoughts, panic, blackouts",Dissociative Identity Disorder,"['Does blackouts affect your daily functioning?', 'Does suicidal thoughts affect your daily functioning?', 'Have you talked to anyone about your feeling disconnected from surroundings?', 'Have you had professional help for presence of two or more distinct identities before?', 'How long have you experienced panic?']"
"muscle_tension, sleep_disturbance, mind_going_blank, irritability, nausea",Generalized Anxiety Disorder (GAD),"['How do you usually cope with mind going blank?', 'Do you notice sleep disturbance getting worse over time?', 'Does anything help relieve your muscle tension?', 'Does nausea affect your daily functioning?', 'How do you usually cope with irritability?']"
"stomachaches, sleep_disturbance, headache, mind_going_blank, nausea, irritability",Generalized Anxiety Disorder (GAD),"['Is headache interfering with your relationships or work?', 'How long have you experienced irritability?', 'Does anything help relieve your sleep disturbance?', 'Does mind going blank affect your daily functioning?', 'Have you talked to anyone about your nausea?']"
"headache, stomachaches, sleep_disturbance, mind_going_blank, muscle_tension",Generalized Anxiety Disorder (GAD),"['Is there a specific event that triggered your muscle tension?', 'Does anything help relieve your sleep disturbance?', 'Does headache affect your daily functioning?', 'On a scale of 1 to 10, how severe is your mind going blank?', 'Is there a specific event that triggered your stomachaches?']"
"mind_going_blank, muscle_tension, irritability, sleep_disturbance, stomachaches",Generalized Anxiety Disorder (GAD),"['Does anything help relieve your irritability?', 'On a scale of 1 to 10, how severe is your sleep disturbance?', 'Does anything help relieve your mind going blank?', 'Is muscle tension interfering with your relationships or work?', 'Does anything help relieve your stomachaches?']"
"nausea, muscle_tension, sleep_disturbance, headache, stomachaches",Generalized Anxiety Disorder (GAD),"['How do you usually cope with muscle tension?', 'On a scale of 1 to 10, how severe is your nausea?', 'How do you usually cope with headache?', 'Is there a specific event that triggered your stomachaches?', 'Is sleep disturbance interfering with your relationships or work?']"
"sleep_disturbance, stomachaches, feeling_easily_tired, feeling_on_edge, mind_going_blank, overthinking",Generalized Anxiety Disorder (GAD),"['Does anything help relieve your overthinking?', 'Does anything help relieve your sleep disturbance?', 'Have you talked to anyone about your mind going blank?', 'Is there a specific event that triggered your stomachaches?', 'How do you usually cope with feeling easily tired?']"
"overthinking, sleep_disturbance, stomachaches, feeling_on_edge, feeling_easily_tired, mind_going_blank",Generalized Anxiety Disorder (GAD),"['Is mind going blank interfering with your relationships or work?', 'Do you notice feeling on edge getting worse over time?', 'Have you talked to anyone about your stomachaches?', 'Is there a specific event that triggered your sleep disturbance?', 'Is there a specific event that triggered your overthinking?']"
"feeling_easily_tired, stomachaches, mind_going_blank, feeling_on_edge, sleep_disturbance",Generalized Anxiety Disorder (GAD),"['How long have you experienced stomachaches?', 'Does anything help relieve your sleep disturbance?', 'Does anything help relieve your feeling on edge?', 'Have you had professional help for mind going blank before?', 'How do you usually cope with feeling easily tired?']"
"feeling_on_edge, feeling_easily_tired, overthinking, mind_going_blank, stomachaches",Generalized Anxiety Disorder (GAD),"['Have you talked to anyone about your feeling easily tired?', 'Do you notice feeling on edge getting worse over time?', 'Does overthinking affect your daily functioning?', 'How do you usually cope with mind going blank?', 'On a scale of 1 to 10, how severe is your stomachaches?']"
"mind_going_blank, feeling_on_edge, overthinking, stomachaches, sleep_disturbance",Generalized Anxiety Disorder (GAD),"['Do you notice stomachaches getting worse over time?', 'Have you had professional help for sleep disturbance before?', 'How long have you experienced overthinking?', 'Is mind going blank interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your feeling on edge?']"
"change_body_image, changes_in_body_weight_shape, extreme_restriction_of_food_intake, mood_changes",Eating Disorder,"['Does change body image affect your daily functioning?', 'How do you usually cope with mood changes?', 'How long have you experienced extreme restriction of food intake?', 'Have you talked to anyone about your changes in body weight shape?']"
"mood_changes, change_body_image, vomiting, eating_large_amounts_of_food, extreme_restriction_of_food_intake, changes_in_body_weight_shape",Eating Disorder,"['Does mood changes affect your daily functioning?', 'Have you talked to anyone about your eating large amounts of food?', 'Have you talked to anyone about your extreme restriction of food intake?', 'Does change body image affect your daily functioning?', 'Have you had professional help for vomiting before?']"
"eating_large_amounts_of_food, vomiting, fear_of_gaining_weight, extreme_restriction_of_food_intake, changes_in_body_weight_shape, mood_changes",Eating Disorder,"['Have you had professional help for fear of gaining weight before?', 'Does changes in body weight shape affect your daily functioning?', 'How do you usually cope with vomiting?', 'Is eating large amounts of food interfering with your relationships or work?', 'How long have you experienced extreme restriction of food intake?']"
"mood_changes, fear_of_gaining_weight, changes_in_body_weight_shape, vomiting",Eating Disorder,"['Is there a specific event that triggered your changes in body weight shape?', 'How do you usually cope with mood changes?', 'Is vomiting interfering with your relationships or work?', 'Have you talked to anyone about your fear of gaining weight?']"
"changes_in_body_weight_shape, vomiting, extreme_restriction_of_food_intake, fear_of_gaining_weight, mood_changes, change_body_image",Eating Disorder,"['On a scale of 1 to 10, how severe is your mood changes?', 'Have you talked to anyone about your change body image?', 'Does anything help relieve your fear of gaining weight?', 'Is there a specific event that triggered your extreme restriction of food intake?', 'Does anything help relieve your changes in body weight shape?']"
"sweating, hot _flashes, chest_pain, sudden_intense_fear, fear_of_losing",Panic Disorder,"['Is sudden intense fear interfering with your relationships or work?', 'How do you usually cope with chest pain?', 'Have you had professional help for sweating before?', 'How do you usually cope with hot  flashes?', 'Do you notice fear of losing getting worse over time?']"
"sudden_intense_fear, chest_pain, nausea, fear_of_losing",Panic Disorder,"['Does chest pain affect your daily functioning?', 'Is fear of losing interfering with your relationships or work?', 'Does nausea affect your daily functioning?', 'Does sudden intense fear affect your daily functioning?']"
"hot _flashes, dizziness, sweating, nausea, sudden_intense_fear, fear_of_losing",Panic Disorder,"['Does anything help relieve your fear of losing?', 'Have you had professional help for hot  flashes before?', 'How do you usually cope with nausea?', 'How long have you experienced dizziness?', 'How do you usually cope with sweating?']"
"sudden_intense_fear, dizziness, hot _flashes, nausea",Panic Disorder,"['On a scale of 1 to 10, how severe is your sudden intense fear?', 'Have you talked to anyone about your dizziness?', 'Have you talked to anyone about your hot  flashes?', 'Is there a specific event that triggered your nausea?']"
"fear_of_losing, sweating, sudden_intense_fear, hot _flashes",Panic Disorder,"['Have you talked to anyone about your fear of losing?', 'How do you usually cope with hot  flashes?', 'Does sudden intense fear affect your daily functioning?', 'Is there a specific event that triggered your sweating?']"
"difficulty_being_patient, frequently_losing_items, easily_distracted, poor_organizational_skill",ADHD (Attention Deficit Hyperactivity Disorder),"['Does frequently losing items affect your daily functioning?', 'Does poor organizational skill affect your daily functioning?', 'Does difficulty being patient affect your daily functioning?', 'Have you had professional help for easily distracted before?']"
"excessive_talking, frequently_losing_items, difficulty_being_patient, inability_to_stay_seated, easily_distracted, poor_organizational_skill",ADHD (Attention Deficit Hyperactivity Disorder),"['How long have you experienced easily distracted?', 'Do you notice difficulty being patient getting worse over time?', 'Have you had professional help for poor organizational skill before?', 'On a scale of 1 to 10, how severe is your excessive talking?', 'How do you usually cope with inability to stay seated?']"
"poor_organizational_skill, inability_to_stay_seated, excessive_talking, easily_distracted, difficulty_being_patient",ADHD (Attention Deficit Hyperactivity Disorder),"['Does excessive talking affect your daily functioning?', 'On a scale of 1 to 10, how severe is your inability to stay seated?', 'Have you had professional help for difficulty being patient before?', 'Is poor organizational skill interfering with your relationships or work?', 'Is easily distracted interfering with your relationships or work?']"
"poor_organizational_skill, frequently_losing_items, inability_to_stay_seated, easily_distracted",ADHD (Attention Deficit Hyperactivity Disorder),"['Does anything help relieve your inability to stay seated?', 'Have you had professional help for frequently losing items before?', 'Is there a specific event that triggered your poor organizational skill?', 'Is easily distracted interfering with your relationships or work?']"
"poor_organizational_skill, forgetfulness_in_daily_activities, easily_distracted, difficulty_being_patient, excessive_talking",ADHD (Attention Deficit Hyperactivity Disorder),"['How do you usually cope with poor organizational skill?', 'Is forgetfulness in daily activities interfering with your relationships or work?', 'Does anything help relieve your excessive talking?', 'Do you notice difficulty being patient getting worse over time?', 'How do you usually cope with easily distracted?']"
"fatigue, sadness, loss_of_pleasure, increased_activity, rapid_speech, sleep_disturbance",Bipolar Disorder,"['How long have you experienced sleep disturbance?', 'On a scale of 1 to 10, how severe is your rapid speech?', 'How do you usually cope with loss of pleasure?', 'On a scale of 1 to 10, how severe is your increased activity?', 'Does sadness affect your daily functioning?']"
"sadness, sleep_disturbance, fatigue, rapid_speech",Bipolar Disorder,"['Does anything help relieve your rapid speech?', 'Do you notice sleep disturbance getting worse over time?', 'Is there a specific event that triggered your fatigue?', 'Have you talked to anyone about your sadness?']"
"fatigue, rapid_speech, sadness, loss_of_pleasure, sleep_disturbance",Bipolar Disorder,"['Do you notice sadness getting worse over time?', 'Is there a specific event that triggered your rapid speech?', 'Does sleep disturbance affect your daily functioning?', 'How do you usually cope with loss of pleasure?', 'How long have you experienced fatigue?']"
"loss_of_pleasure, rapid_speech, fatigue, increased_activity, sadness",Bipolar Disorder,"['How long have you experienced fatigue?', 'On a scale of 1 to 10, how severe is your increased activity?', 'Is sadness interfering with your relationships or work?', 'Have you had professional help for loss of pleasure before?', 'Is rapid speech interfering with your relationships or work?']"
"rapid_speech, sadness, loss_of_pleasure, fatigue, sleep_disturbance",Bipolar Disorder,"['Is rapid speech interfering with your relationships or work?', 'Have you had professional help for fatigue before?', 'Have you talked to anyone about your sleep disturbance?', 'On a scale of 1 to 10, how severe is your sadness?', 'Have you had professional help for loss of pleasure before?']"
"neglecting_responsibilites, using_more_of_the_substance, physical_and_psychological_problems, spending_a_lot_time_recovering_from_the_substance",Substance Use Disorder,"['On a scale of 1 to 10, how severe is your using more of the substance?', 'Have you talked to anyone about your spending a lot time recovering from the substance?', 'Does physical and psychological problems affect your daily functioning?', 'Have you talked to anyone about your neglecting responsibilites?']"
"neglecting_responsibilites, using_more_of_the_substance, withdrawal_symptoms, inability_to_control",Substance Use Disorder,"['Does inability to control affect your daily functioning?', 'Does neglecting responsibilites affect your daily functioning?', 'How long have you experienced using more of the substance?', 'Does anything help relieve your withdrawal symptoms?']"
"withdrawal_symptoms, physical_and_psychological_problems, using_more_of_the_substance, inability_to_control, spending_a_lot_time_recovering_from_the_substance",Substance Use Disorder,"['On a scale of 1 to 10, how severe is your physical and psychological problems?', 'How long have you experienced withdrawal symptoms?', 'How long have you experienced inability to control?', 'Does using more of the substance affect your daily functioning?', 'Does spending a lot time recovering from the substance affect your daily functioning?']"
"inability_to_control, withdrawal_symptoms, using_more_of_the_substance, spending_a_lot_time_recovering_from_the_substance, physical_and_psychological_problems",Substance Use Disorder,"['Does inability to control affect your daily functioning?', 'Does using more of the substance affect your daily functioning?', 'Does anything help relieve your physical and psychological problems?', 'Is withdrawal symptoms interfering with your relationships or work?', 'How long have you experienced spending a lot time recovering from the substance?']"
"using_more_of_the_substance, inability_to_control, neglecting_responsibilites, withdrawal_symptoms, physical_and_psychological_problems",Substance Use Disorder,"['How long have you experienced inability to control?', 'Is there a specific event that triggered your withdrawal symptoms?', 'Does neglecting responsibilites affect your daily functioning?', 'Does physical and psychological problems affect your daily functioning?', 'How long have you experienced using more of the substance?']"
"required_perfectness, avoidance_of_situations_that_trigger_obsession, severe_anxiety, sleep_problem_from_obsessive_thinking, repetitve_behaviors",Obsessive-Compulsive Disorder (OCD),"['How do you usually cope with avoidance of situations that trigger obsession?', 'How long have you experienced severe anxiety?', 'Is there a specific event that triggered your sleep problem from obsessive thinking?', 'Does anything help relieve your repetitve behaviors?', 'How long have you experienced required perfectness?']"
"avoidance_of_situations_that_trigger_obsession, time_consuming_rituals, repetitve_behaviors, severe_anxiety",Obsessive-Compulsive Disorder (OCD),"['How do you usually cope with repetitve behaviors?', 'Have you talked to anyone about your severe anxiety?', 'Does time consuming rituals affect your daily functioning?', 'Have you had professional help for avoidance of situations that trigger obsession before?']"
"required_perfectness, severe_anxiety, avoidance_of_situations_that_trigger_obsession, time_consuming_rituals",Obsessive-Compulsive Disorder (OCD),"['Is there a specific event that triggered your severe anxiety?', 'How do you usually cope with avoidance of situations that trigger obsession?', 'Is time consuming rituals interfering with your relationships or work?', 'Have you talked to anyone about your required perfectness?']"
"time_consuming_rituals, severe_anxiety, required_perfectness, sleep_problem_from_obsessive_thinking, avoidance_of_situations_that_trigger_obsession",Obsessive-Compulsive Disorder (OCD),"['On a scale of 1 to 10, how severe is your avoidance of situations that trigger obsession?', 'Does sleep problem from obsessive thinking affect your daily functioning?', 'Does time consuming rituals affect your daily functioning?', 'Is there a specific event that triggered your severe anxiety?', 'Do you notice required perfectness getting worse over time?']"
"sleep_problem_from_obsessive_thinking, time_consuming_rituals, avoidance_of_situations_that_trigger_obsession, required_perfectness, repetitve_behaviors",Obsessive-Compulsive Disorder (OCD),"['Have you talked to anyone about your required perfectness?', 'Have you talked to anyone about your repetitve behaviors?', 'How do you usually cope with avoidance of situations that trigger obsession?', 'How long have you experienced time consuming rituals?', 'Have you had professional help for sleep problem from obsessive thinking before?']"
"excessive_worry_related_to_the_stressor, anger_outbrusts, trouble_concentrating, withdrawal_from_social_support, changes_in_appetite",Adjustment Disorder,"['Does anything help relieve your excessive worry related to the stressor?', 'Is changes in appetite interfering with your relationships or work?', 'How long have you experienced trouble concentrating?', 'How long have you experienced withdrawal from social support?', 'Have you talked to anyone about your anger outbrusts?']"
"excessive_worry_related_to_the_stressor, trouble_concentrating, anger_outbrusts, changes_in_appetite",Adjustment Disorder,"['Do you notice excessive worry related to the stressor getting worse over time?', 'How do you usually cope with anger outbrusts?', 'Is changes in appetite interfering with your relationships or work?', 'Does anything help relieve your trouble concentrating?']"
"changes_in_appetite, trouble_concentrating, anger_outbrusts, withdrawal_from_social_support",Adjustment Disorder,"['Do you notice withdrawal from social support getting worse over time?', 'Is changes in appetite interfering with your relationships or work?', 'Does trouble concentrating affect your daily functioning?', 'Is anger outbrusts interfering with your relationships or work?']"
"excessive_worry_related_to_the_stressor, anger_outbrusts, changes_in_appetite, trouble_concentrating, withdrawal_from_social_support",Adjustment Disorder,"['How long have you experienced excessive worry related to the stressor?', 'Is trouble concentrating interfering with your relationships or work?', 'How do you usually cope with changes in appetite?', 'On a scale of 1 to 10, how severe is your anger outbrusts?', 'Have you had professional help for withdrawal from social support before?']"
"frequent_crying, withdrawal_from_social_support, trouble_concentrating, changes_in_appetite, excessive_worry_related_to_the_stressor",Adjustment Disorder,"['How do you usually cope with excessive worry related to the stressor?', 'How long have you experienced changes in appetite?', 'Does anything help relieve your withdrawal from social support?', 'Does frequent crying affect your daily functioning?', 'How do you usually cope with trouble concentrating?']"
"hearing_voices, panic, sudden_shift_in_mood, presence_of_two_or_more_distinct_identities, difficulty_functioning_in_daily_life",Dissociative Identity Disorder,"['Is there a specific event that triggered your presence of two or more distinct identities?', 'Do you notice difficulty functioning in daily life getting worse over time?', 'Is panic interfering with your relationships or work?', 'Does anything help relieve your sudden shift in mood?', 'Does anything help relieve your hearing voices?']"
"feeling_disconnected_from_surroundings, presence_of_two_or_more_distinct_identities, difficulty_functioning_in_daily_life, memory_loss, sudden_shift_in_mood, hearing_voices",Dissociative Identity Disorder,"['Do you notice presence of two or more distinct identities getting worse over time?', 'Have you talked to anyone about your memory loss?', 'Do you notice feeling disconnected from surroundings getting worse over time?', 'Have you talked to anyone about your hearing voices?', 'Does sudden shift in mood affect your daily functioning?']"
"difficulty_functioning_in_daily_life, panic, presence_of_two_or_more_distinct_identities, memory_loss",Dissociative Identity Disorder,"['Is there a specific event that triggered your panic?', 'How long have you experienced memory loss?', 'Is difficulty functioning in daily life interfering with your relationships or work?', 'Is there a specific event that triggered your presence of two or more distinct identities?']"
"memory_loss, feeling_disconnected_from_surroundings, presence_of_two_or_more_distinct_identities, sudden_shift_in_mood",Dissociative Identity Disorder,"['Is sudden shift in mood interfering with your relationships or work?', 'Does presence of two or more distinct identities affect your daily functioning?', 'On a scale of 1 to 10, how severe is your memory loss?', 'On a scale of 1 to 10, how severe is your feeling disconnected from surroundings?']"
"difficulty_functioning_in_daily_life, presence_of_two_or_more_distinct_identities, sudden_shift_in_mood, hearing_voices, memory_loss",Dissociative Identity Disorder,"['Is there a specific event that triggered your hearing voices?', 'How do you usually cope with presence of two or more distinct identities?', 'On a scale of 1 to 10, how severe is your sudden shift in mood?', 'Is there a specific event that triggered your memory loss?', 'Does difficulty functioning in daily life affect your daily functioning?']"
"withdrawal_from_social_life, recurrent_thoughts_of_death, appetite_change, insomnia, loss_of_interest, diminished_ability_to_think",Major Depressive Disorder,"['Does diminished ability to think affect your daily functioning?', 'Is recurrent thoughts of death interfering with your relationships or work?', 'Have you talked to anyone about your insomnia?', 'Is withdrawal from social life interfering with your relationships or work?', 'Have you talked to anyone about your appetite change?']"
"diminished_ability_to_think, recurrent_thoughts_of_death, insomnia, loss_of_interest",Major Depressive Disorder,"['On a scale of 1 to 10, how severe is your loss of interest?', 'Have you had professional help for diminished ability to think before?', 'Have you talked to anyone about your insomnia?', 'Have you had professional help for recurrent thoughts of death before?']"
"insomnia, withdrawal_from_social_life, loss_of_interest, appetite_change",Major Depressive Disorder,"['Do you notice appetite change getting worse over time?', 'Does insomnia affect your daily functioning?', 'Have you had professional help for withdrawal from social life before?', 'Is there a specific event that triggered your loss of interest?']"
"withdrawal_from_social_life, insomnia, recurrent_thoughts_of_death, loss_of_interest",Major Depressive Disorder,"['Have you talked to anyone about your insomnia?', 'Do you notice withdrawal from social life getting worse over time?', 'Is recurrent thoughts of death interfering with your relationships or work?', 'How do you usually cope with loss of interest?']"
"recurrent_thoughts_of_death, diminished_ability_to_think, loss_of_interest, appetite_change, withdrawal_from_social_life, insomnia",Major Depressive Disorder,"['Is there a specific event that triggered your diminished ability to think?', 'Have you talked to anyone about your appetite change?', 'How long have you experienced recurrent thoughts of death?', 'Does anything help relieve your loss of interest?', 'Does anything help relieve your withdrawal from social life?']"
"feeling_of_worthless, loss_of_interest, depressed_mood_most_of_the_way, insomnia, retardation",Major Depressive Disorder,"['How long have you experienced depressed mood most of the way?', 'Is there a specific event that triggered your retardation?', 'Does insomnia affect your daily functioning?', 'Does anything help relieve your feeling of worthless?', 'Is there a specific event that triggered your loss of interest?']"
"retardation, loss_of_interest, insomnia, fatigue, depressed_mood_most_of_the_way",Major Depressive Disorder,"['Does depressed mood most of the way affect your daily functioning?', 'On a scale of 1 to 10, how severe is your retardation?', 'How do you usually cope with insomnia?', 'Does fatigue affect your daily functioning?', 'Have you had professional help for loss of interest before?']"
"fatigue, feeling_of_worthless, diminished_ability_to_think, insomnia, depressed_mood_most_of_the_way",Major Depressive Disorder,"['How long have you experienced feeling of worthless?', 'Does diminished ability to think affect your daily functioning?', 'Have you had professional help for insomnia before?', 'Have you talked to anyone about your depressed mood most of the way?', 'How do you usually cope with fatigue?']"
"loss_of_interest, fatigue, insomnia, depressed_mood_most_of_the_way, retardation, feeling_of_worthless",Major Depressive Disorder,"['Do you notice fatigue getting worse over time?', 'Is there a specific event that triggered your depressed mood most of the way?', 'Does retardation affect your daily functioning?', 'On a scale of 1 to 10, how severe is your insomnia?', 'Does loss of interest affect your daily functioning?']"
"loss_of_interest, diminished_ability_to_think, depressed_mood_most_of_the_way, feeling_of_worthless, fatigue",Major Depressive Disorder,"['Have you talked to anyone about your diminished ability to think?', 'How long have you experienced loss of interest?', 'Have you had professional help for depressed mood most of the way before?', 'Is there a specific event that triggered your feeling of worthless?', 'Does fatigue affect your daily functioning?']"
"impulsive_behaviors, recurrent_suicidal_behavior,self_harm, intense_fear_of_abandonment, chronic_feelings_of_emptiness, unstable_interpersonal_relationships, difficulty_controlling_anger",Borderline Personality Disorder,"['On a scale of 1 to 10, how severe is your unstable interpersonal relationships?', 'On a scale of 1 to 10, how severe is your intense fear of abandonment?', 'Does anything help relieve your difficulty controlling anger?', 'Have you had professional help for chronic feelings of emptiness before?', 'Is there a specific event that triggered your recurrent suicidal behavior,self harm?']"
"difficulty_controlling_anger, unstable_interpersonal_relationships, impulsive_behaviors, chronic_feelings_of_emptiness, recurrent_suicidal_behavior,self_harm, intense_fear_of_abandonment",Borderline Personality Disorder,"['How do you usually cope with recurrent suicidal behavior,self harm?', 'How long have you experienced unstable interpersonal relationships?', 'Is there a specific event that triggered your difficulty controlling anger?', 'Do you notice chronic feelings of emptiness getting worse over time?', 'Do you notice impulsive behaviors getting worse over time?']"
"difficulty_controlling_anger, unstable_interpersonal_relationships, chronic_feelings_of_emptiness, impulsive_behaviors, emotional_instability, intense_fear_of_abandonment",Borderline Personality Disorder,"['Have you had professional help for chronic feelings of emptiness before?', 'How do you usually cope with intense fear of abandonment?', 'Does anything help relieve your impulsive behaviors?', 'On a scale of 1 to 10, how severe is your difficulty controlling anger?', 'Does emotional instability affect your daily functioning?']"
"recurrent_suicidal_behavior,self_harm, difficulty_controlling_anger, chronic_feelings_of_emptiness, unstable_interpersonal_relationships, impulsive_behaviors, emotional_instability",Borderline Personality Disorder,"['Does difficulty controlling anger affect your daily functioning?', 'Does unstable interpersonal relationships affect your daily functioning?', 'Is impulsive behaviors interfering with your relationships or work?', 'Have you had professional help for chronic feelings of emptiness before?', 'Is emotional instability interfering with your relationships or work?']"
"unstable_interpersonal_relationships, impulsive_behaviors, recurrent_suicidal_behavior,self_harm, intense_fear_of_abandonment, chronic_feelings_of_emptiness, difficulty_controlling_anger",Borderline Personality Disorder,"['On a scale of 1 to 10, how severe is your unstable interpersonal relationships?', 'Have you had professional help for chronic feelings of emptiness before?', 'Does difficulty controlling anger affect your daily functioning?', 'Is intense fear of abandonment interfering with your relationships or work?', 'Does recurrent suicidal behavior,self harm affect your daily functioning?']"
"loss_of_interest, retardation, recurrent_thoughts_of_death, withdrawal_from_social_life, fatigue, insomnia",Major Depressive Disorder,"['Have you talked to anyone about your retardation?', 'Have you talked to anyone about your loss of interest?', 'How do you usually cope with fatigue?', 'Does withdrawal from social life affect your daily functioning?', 'On a scale of 1 to 10, how severe is your recurrent thoughts of death?']"
"diminished_ability_to_think, withdrawal_from_social_life, insomnia, retardation, recurrent_thoughts_of_death, fatigue",Major Depressive Disorder,"['Does retardation affect your daily functioning?', 'Is there a specific event that triggered your fatigue?', 'Does diminished ability to think affect your daily functioning?', 'Is withdrawal from social life interfering with your relationships or work?', 'Does anything help relieve your recurrent thoughts of death?']"
"fatigue, diminished_ability_to_think, insomnia, recurrent_thoughts_of_death, withdrawal_from_social_life, loss_of_interest",Major Depressive Disorder,"['How long have you experienced fatigue?', 'Have you had professional help for diminished ability to think before?', 'Have you talked to anyone about your insomnia?', 'Have you had professional help for loss of interest before?', 'Have you had professional help for recurrent thoughts of death before?']"
"diminished_ability_to_think, retardation, recurrent_thoughts_of_death, loss_of_interest",Major Depressive Disorder,"['Is there a specific event that triggered your diminished ability to think?', 'Does recurrent thoughts of death affect your daily functioning?', 'Have you had professional help for retardation before?', 'On a scale of 1 to 10, how severe is your loss of interest?']"
"diminished_ability_to_think, recurrent_thoughts_of_death, insomnia, fatigue",Major Depressive Disorder,"['On a scale of 1 to 10, how severe is your insomnia?', 'Do you notice fatigue getting worse over time?', 'How do you usually cope with recurrent thoughts of death?', 'How long have you experienced diminished ability to think?']"
"giving_up_important_activites, inability_to_control, withdrawal_symptoms, physical_and_psychological_problems",Substance Use Disorder,"['Does physical and psychological problems affect your daily functioning?', 'How long have you experienced giving up important activites?', 'On a scale of 1 to 10, how severe is your withdrawal symptoms?', 'Do you notice inability to control getting worse over time?']"
"giving_up_important_activites, inability_to_control, strong_carvings, physical_and_psychological_problems, spending_a_lot_time_recovering_from_the_substance, withdrawal_symptoms",Substance Use Disorder,"['On a scale of 1 to 10, how severe is your spending a lot time recovering from the substance?', 'How do you usually cope with giving up important activites?', 'Does anything help relieve your withdrawal symptoms?', 'Do you notice physical and psychological problems getting worse over time?', 'How long have you experienced strong carvings?']"
"giving_up_important_activites, strong_carvings, physical_and_psychological_problems, withdrawal_symptoms, spending_a_lot_time_recovering_from_the_substance",Substance Use Disorder,"['How long have you experienced withdrawal symptoms?', 'Does anything help relieve your giving up important activites?', 'Does strong carvings affect your daily functioning?', 'Is there a specific event that triggered your spending a lot time recovering from the substance?', 'How do you usually cope with physical and psychological problems?']"
"spending_a_lot_time_recovering_from_the_substance, withdrawal_symptoms, physical_and_psychological_problems, inability_to_control, giving_up_important_activites, strong_carvings",Substance Use Disorder,"['Is there a specific event that triggered your strong carvings?', 'Does withdrawal symptoms affect your daily functioning?', 'Does anything help relieve your spending a lot time recovering from the substance?', 'Have you had professional help for inability to control before?', 'How do you usually cope with giving up important activites?']"
"strong_carvings, physical_and_psychological_problems, spending_a_lot_time_recovering_from_the_substance, inability_to_control, withdrawal_symptoms, giving_up_important_activites",Substance Use Disorder,"['Does strong carvings affect your daily functioning?', 'On a scale of 1 to 10, how severe is your physical and psychological problems?', 'How long have you experienced withdrawal symptoms?', 'Is inability to control interfering with your relationships or work?', 'Have you had professional help for spending a lot time recovering from the substance before?']"
"difficulty_making_eye_contact, physical_symptoms_in_social_settings, intense_fear_of_social_situations, avoidance_of_social_activity",Social Anxiety Disorder,"['Does anything help relieve your difficulty making eye contact?', 'Have you had professional help for avoidance of social activity before?', 'Have you had professional help for physical symptoms in social settings before?', 'Have you had professional help for intense fear of social situations before?']"
"excessive_fear_of_embarrassment, avoidance_of_social_activity, intense_fear_of_social_situations, physical_symptoms_in_social_settings, significant_distress_in_daily_life, low_self-esteem",Social Anxiety Disorder,"['How do you usually cope with low self-esteem?', 'Is physical symptoms in social settings interfering with your relationships or work?', 'Have you talked to anyone about your significant distress in daily life?', 'Have you talked to anyone about your intense fear of social situations?', 'Do you notice avoidance of social activity getting worse over time?']"
"low_self-esteem, avoid_eating_in_public, intense_fear_of_social_situations, difficulty_making_eye_contact, physical_symptoms_in_social_settings",Social Anxiety Disorder,"['How do you usually cope with intense fear of social situations?', 'Does anything help relieve your low self-esteem?', 'Does anything help relieve your avoid eating in public?', 'How do you usually cope with physical symptoms in social settings?', 'How do you usually cope with difficulty making eye contact?']"
"avoidance_of_social_activity, physical_symptoms_in_social_settings, avoid_eating_in_public, significant_distress_in_daily_life",Social Anxiety Disorder,"['How long have you experienced significant distress in daily life?', 'Does avoid eating in public affect your daily functioning?', 'Is physical symptoms in social settings interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your avoidance of social activity?']"
